row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
25,104,0,33.0,2.8705943,243.20169,0.011800366,0.00044723763,7.480567,251.50314,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
25,101,0,26.0,1.3666914,315.2907,0.005963832,-0.00030558728,8.223341,199.43504,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
123,96,0,10.0,89.69072,0.008651733,3.88657e-06,1.6467578e-07,-0.7340225,568.73,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
105,87,0,14.0,1.2820039,270.0,0.004282078,3.1277523e-05,8.287332,125.75157,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
0,26,0,13.0,1.922605,270.0,0.0076125823,0.0001874891,7.8818665,319.97864,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56706,8.5857544e-05,0.0,0.0,0.0
71,62,0,8.0,1.1637892,33.42225,-0.0053667235,0.0003279278,8.384105,125.75157,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
59,84,0,15.0,1.3341298,13.90005,0.0060156533,0.0001440594,8.247463,251.50314,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
26,55,0,15.0,0.7225977,26.33319,0.006478632,0.00010927781,8.860773,198.2245,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
40,45,0,11.0,2.3543596,344.20752,0.0056250147,2.2290857e-05,8.372238,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657396,7.0817674e-05,0.0,0.0,10.0
49,14,0,4.0,2.6668146,166.09995,0.0029286728,-9.892911e-06,7.554316,88.4675,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58281,5.1562114e-05,0.0,0.0,30.0
90,97,0,14.0,1.7408912,21.601658,0.0029913152,6.6138215e-05,7.981218,88.4675,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
19,47,0,10.0,1.8735349,238.77914,-0.0076556806,0.00031188462,7.9077396,125.75157,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
19,62,0,14.0,0.32055113,90.0,-0.011418874,-3.1299547e-05,10.366774,282.32806,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
79,52,0,8.0,2.2770512,224.7093,-0.0019879444,0.00030064918,7.7125154,125.75157,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
75,93,0,13.0,0.9112235,44.709297,-0.0019879434,0.00015740473,9.727418,251.50314,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
59,70,0,13.0,0.32382044,180.0,0.011076489,-0.0,9.663479,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
71,35,0,8.0,0.45564055,44.709297,0.025843274,-4.772801e-05,9.321953,125.75157,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
4,121,0,24.0,5.024503,219.5199,0.008927279,-0.00040139892,7.6121755,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659132,3.3028165e-05,0.0,0.0,10.0
58,17,0,5.0,0.0,0.0,0.0,0.0,11.395452,251.50314,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
61,76,0,13.0,1.6023545,270.0,-0.0034256622,-0.00018758589,9.673626,321.2299,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
75,107,0,2.0,1.6347142,78.57773,-0.011786105,-0.00029635508,11.733063,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
5,31,0,4.0,2.460808,202.98882,0.00089438114,-0.00070471445,8.327966,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65754,6.7665394e-05,0.0,0.0,10.0
31,72,0,13.0,0.6410822,270.0,0.008564156,0.00015647573,8.980479,198.2245,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
91,110,0,12.0,0.45564055,44.709297,-0.00993972,4.774104e-05,9.321953,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
4,76,0,22.0,2.6430771,255.82635,0.0025612104,-5.353505e-05,7.5632696,199.43504,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657778,6.250019e-05,0.0,0.0,10.0
51,107,0,17.0,1.6128275,323.40878,0.0018812226,0.00010469527,8.750817,199.43504,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
